,,,,,
,,,,,
Label,dataset,changeId,fileName,lineNumber,token
,,,,,
Structure,base,Ie6a3d8dd494f981e8706b9a66a1021dfb51baec4,src/plugins/platforms/xcb/qxcbconnection_xi2.cpp,252,QString name QString fromUtf nameRaw
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1589,if file CanonicalPathName
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,431,for int kid kid related children size kid
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,793,name offset jump past hash
Visual,base,Ibe796c398a8e5488b7203abb07aa54740744f1ab,src/corelib/tools/qvarlengtharray.h,323,const std less const T less
Documentation,base,I99eeb5a1aab03cbc574fac7187d85a8a2d60cf34,src/widgets/widgets/qtabbar.cpp,2726,environment variable QT NO TAB BAR SCROLLING to
Logic,base,I4cf81c8283262cbf59ee3fb7064a59837332ced7,src/gui/kernel/qevent.h,408,Qt NativeGestureType m gestureType
Documentation,base,Ibe810e77fd1b715a6bea66cd3f44312b015ac274,tests/auto/network/ssl/qsslsocket/tst_qsslsocket.cpp,619,const QString nonExisting QStringLiteral non existing backend
Logic,base,I43803a0dfe210353d0235f0373d2257f75ffe534,src/corelib/kernel/qproperty.h,488,quintptr makeBinding makeBinding encodes whether the struct has a takeBinding member in its high bit
Documentation,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,873,offset jump past name
Visual,base,Ibe796c398a8e5488b7203abb07aa54740744f1ab,src/corelib/tools/qvarlengtharray.h,300,inline iterator erase const iterator pos return erase pos pos
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1285,if res type QResourceRoot Resource File
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,940,int offset findOffset node jump past name
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,422,for int i i related size i
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,931,const int offset findOffset node jump past name
Structure,base,I05877de9c02857594e76b24d52e7578bdb01df69,src/network/ssl/qsslsocket.cpp,1613,qCWarning lcSsl Cannot provide the list of supported protocols for the backend backendName
Visual,base,Ibe796c398a8e5488b7203abb07aa54740744f1ab,src/corelib/tools/qvarlengtharray.h,268,inline const T constData const return ptr
Logic,base,I9d74f9d8b74b5ac35dce3528e7a2006746a00676,src/corelib/global/qglobal.h,92,ifdef Q CC MSVC
Logic,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/qiosviewcontroller.mm,584,qtMods Qt KeypadModifier
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1352,for int i i list size i
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1126,setSource version b tree offset b name offset b data offset
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,381,if related isEmpty
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,780,name offset jump past name length
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1572,if file BaseName
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1466,if len size d offset
Documentation,base,I39215c5e51c7bd27f1dd29e1d9d908aecf754fb7,src/gui/text/qtextdocument.cpp,2206,sa QTextDocument ResourceProvider
Logic,base,Ic90d8429a0eb4837971dfffd1664f776b2c0edfd,src/corelib/io/qprocess_unix.cpp,952,argv strdup QFile encodeName resolveExecutable program constData
Logic,base,I9556cd384ef99a623b5b8723b65f16eb9e1df767,src/corelib/tools/qarraydataops.h,401,this ptr e b
Documentation,base,Ic90d8429a0eb4837971dfffd1664f776b2c0edfd,src/corelib/io/qprocess_unix.cpp,463,Resolve the program name
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,947,if flags Directory
Logic,base,I6905c393647d31fab958cdd9471bb0a6ffe83596,src/gui/util/qktxhandler.cpp,157,decode reinterpret cast const quint buf constData offset
Logic,base,I51d0b8238c73e5860c40d3b74577ddb8926647a3,src/network/ssl/qasn1element.cpp,337,const qint limit std numeric limits qint max
Logic,base,Id6add27fcf9bbbe5fbf83a193652edf08fbad8d6,tests/auto/network/socket/qtcpsocket/tst_qtcpsocket.cpp,2094,bool connect to unreachable host is broken
Structure,base,Iae026378831799dc676e1aba7d5bd6a0d1c01e7f,src/plugins/platforms/windows/qwindowsmime.cpp,306,flip image vertically bi bVHeight bpl data
Logic,base,Ie50ae2d4a75477cfdae9d5bd4bddf268426d95b5,src/corelib/tools/qarraydataops.h,803,if constexpr std is nothrow copy constructible v T
Logic,base,I1e2b7f033f0e8166c0b21e31a62b3e6d37b9344a,src/corelib/global/qnumeric.h,78,Q CORE EXPORT constexpr typename std enable if std is integral T value bool type
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,945,offset jump past locale
Visual,base,I087d7d949cfd43e48e8a008621a4eeaa9d104ceb,src/corelib/global/qlogging.cpp,1679,for int i i message length i maxOutputStringLength
Visual,base,I087d7d949cfd43e48e8a008621a4eeaa9d104ceb,src/corelib/global/qlogging.cpp,1161,tokens reset new const char lexemes size
Visual,base,Ibe796c398a8e5488b7203abb07aa54740744f1ab,src/corelib/tools/qvarlengtharray.h,134,const auto otherInlineStorage reinterpret cast T other array
