,,,,,
,,,,,
Label,dataset,changeId,fileName,lineNumber,token
,,,,,
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,888,if country locale country language locale language
Documentation,base,I9554637f5230b1f57faaeef6b2c04cf082271edb,src/gui/image/qabstractfileiconprovider.cpp,90,break
Documentation,base,Ibd31b9c482962b1618daf04fef4256aa52d589e3,src/corelib/kernel/qproperty.cpp,1177,inmodule QtCore
Visual,base,I03d11a3f915a03bd57f79b8db2023ed4720e2ef8,src/corelib/text/qregularexpression.cpp,1444,if d
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,852,else if h sub node hash
Visual,base,I4cf81c8283262cbf59ee3fb7064a59837332ced7,src/gui/kernel/qevent.h,453,quint m count
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,830,now iterate up the tree
Structure,base,I7b9b97ae9b32412abdc6fffd164523eeae49cdfe,src/corelib/serialization/qcborstreamreader.cpp,1539,if toRead MaxByteArraySize
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1153,delete mappingBuffer
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,429,if node
Logic,base,I9dba1b373250cea4d0c806997290a7afcdc900d7,src/gui/util/qktxhandler.cpp,261,char QKtxHandler decode char val const
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1133,class QDynamicFileResourceRoot public QDynamicBufferResourceRoot
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1471,memcpy data d uncompressed constData d offset len
Visual,base,Iae026378831799dc676e1aba7d5bd6a0d1c01e7f,src/plugins/platforms/windows/qwindowsmime.cpp,322,if bi bVHeight
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1061,run time resource creation
Logic,base,Ic35dfd33038cc736245904b78fe4383a5a11b580,tests/auto/corelib/text/qcollator/tst_qcollator.cpp,283,for MACOS C locale is not supported always providing empty string for sortKey
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1206,delete data
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,384,if fileName QLatinString
Structure,base,I06b4f54e300541033a9a18339c97338717a06da0,src/corelib/text/qregularexpression.cpp,1615,QRegularExpressionPrivate d ptr d d data new QRegularExpressionPrivate
Logic,base,I03d11a3f915a03bd57f79b8db2023ed4720e2ef8,src/corelib/text/qregularexpression.cpp,1744,d re d d pattern re d pattern
Structure,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1147,munmap char unmapPointer unmapLength
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,936,if node
Logic,base,I7f1ba8036f43413d3c805f4b419ae79e037343fb,qmake/qmakelibraryinfo.cpp,166,else if unsigned loc sizeof qtConfEntries sizeof qtConfEntries
Documentation,base,I8409d81fd11fb46e6ab4465b4937a7680a8c2447,src/network/ssl/qtlsbackend.cpp,58,class BackEndFactoryCollection
Logic,base,I0f3cbb0500695673fc4087af5d4b96b416e3e1ce,src/corelib/thread/qfuture_impl.h,553,f d setContinuation continuation
Interface,base,I6a46c2e817f8dc3f580774aba2db8bfb01f5a403,qmake/qmakelibraryinfo.cpp,167,return QLibraryInfo PrefixPath
Logic,base,Ic90d8429a0eb4837971dfffd1664f8f63753440a,src/corelib/io/qprocess_unix.cpp,504,const CharPointerList envp environment d constData
Documentation,base,I10a6f756c09908f199ac9c61e28b49625af10105,examples/network/http/httpwindow.cpp,137,HttpWindow HttpWindow default
Documentation,base,I9261084e545c24e5473234220d2a3f2cd26c2b7f,src/corelib/tools/qlist.h,752,from a container to the same container This is a critical step for
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,860,now do the harder compares
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,983,for int i child off i child off child count i
Documentation,base,I7b9b97ae9b32412abdc6fffd164523eeae49cdfe,src/corelib/serialization/qcborstreamreader.cpp,1484,the case of direct memory no QIODevice but
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1526,if d resource isValid
Logic,base,I05877de9c02857594e76b24d52e7578bdb01df69,src/network/ssl/qsslsocket.cpp,1617,return QSslSocketPrivate supportedProtocols backendName
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,810,if root endsWith QLatinChar
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,309,QList QResourceRoot related
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1370,resource engine
Visual,base,I087d7d949cfd43e48e8a008621a4eeaa9d104ceb,src/corelib/global/qsimd.cpp,448,data static cast char realloc data newalloc
Visual,base,Iedc084b67bb496b2ef13001a0e6aa46d4574eb57,src/plugins/platforms/cocoa/qcocoafiledialoghelper.mm,313,for int i i filters size i
Logic,base,Iecedb31b6993f6771b4b7a5d2708995365b8515f,tests/auto/corelib/animation/qsequentialanimationgroup/tst_qsequentialanimationgroup.cpp,1479,delete anim
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,929,if node
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,845,do the binary search for the hash
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,785,if node root
Logic,base,I051cdeb1fe03a7ef16e333a483bb68e2fada3c25,src/corelib/tools/qsharedpointer_impl.h,639,bool operator const QWeakPointer X o const noexcept
Structure,base,I949acf79c8ce321811ee81cf707c1ae0eccb547d,src/tools/qtpaths/qtpaths.cpp,243,QCoreApplication translate qtpaths Specifies query output format
Structure,base,I39bc2eaa61f799aaddc43ab6c6e782e081f31d0c,src/corelib/kernel/qproperty.cpp,115,QScopeGuard guard eagerlyUpdating false
Documentation,base,Ic580e6316e67edbc840aa0c60d98c7aaabaf1af6,src/corelib/io/qfileinfo.cpp,1626,since
Visual,base,Ibe796c398a8e5488b7203abb07aa54740744f1ab,src/corelib/tools/qvarlengtharray.h,448,T newPtr reinterpret cast T malloc aalloc sizeof T
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1289,if root ref deref
Logic,base,I9554637f5230b1f57faaeef6b2c04cf082271edb,src/gui/image/qabstractfileiconprovider.cpp,100,icon addPixmap theme standardPixmap sp size
Structure,base,I051cdeb1fe03a7ef16e333a483bb68e2fada3c25,src/corelib/tools/qsharedpointer_impl.h,655,friend bool operator const QSharedPointer X p const QWeakPointer p noexcept
Logic,base,I66443c3021d6ba98639a214c3e768be97d2cf14b,src/corelib/io/qwindowspipereader.cpp,144,WaitForThreadpoolWaitCallbacks waitObject FALSE
Logic,base,I06e563df417692d3b6514a52a313a0ff55b0b52e,src/corelib/time/qtimezoneprivate_tz.cpp,97,while ascii isspace text back TODO QBAV needs a trimmed method
Structure,base,Iae026378831799dc676e1aba7d5bd6a0d1c01e7f,src/plugins/platforms/windows/qwindowsmime.cpp,315,delete content
Structure,base,I1c3c5ce2a6f4f57f92ab503a734c8244fe7cd7c5,src/corelib/text/qstring.cpp,9431,Returns c true if string a s is lexically equal to string a s
Structure,base,Ic7f9ca590a8ea8a9696b84f35bad074780794461,tests/auto/corelib/thread/qfuture/tst_qfuture.cpp,3292,const int val
Logic,base,I5a48b63195d28025ae8c5de28bc6d6178dad03db,examples/qtconcurrent/imagescaling/imagescaling.cpp,108,return
Visual,base,I0ff4ed146fe53922691d5473d0c236f31d478a04,src/corelib/io/qresource.cpp,1256,if root registerSelf rccFilename
Documentation,base,I2fb1ba7254ecfd502a22c706404f92dd1bc3a584,src/corelib/kernel/qwineventnotifier.cpp,283,Wait for outstanding callback to complete
Logic,base,I1d53dbf7e58eae80776ff36334ebf0642ba7842f,src/corelib/kernel/qmetatype.h,486,return false one type is undefined the other is defined
