,,,,,
,,,,,
Label,dataset,changeId,fileName,lineNumber,token
,,,,,
Visual,base,I02a8bdad6138758106283495098c72770ea74e52,src/corelib/global/qfloat16.h,154,f b a b quint x
Structure,base,I02a8bdad6138758106283495098c72770ea74e52,src/corelib/global/qfloat16.h,146,friend inline int qIntCast qfloat f noexcept
Visual,base,I02a8bdad6138758106283495098c72770ea74e52,src/corelib/global/qfloat16.h,160,return qfloat static cast float a static cast float b
Documentation,base,I02a8bdad6138758106283495098c72770ea74e52,src/corelib/global/qfloat16.h,137,which the two operands can vary and still return true
Logic,base,I03d11a3f915a03bd57f79b8db2023ed4720e2ef8,tests/auto/corelib/text/qregularexpression/tst_qregularexpression.cpp,563,QVERIFY it d
Interface,base,I05877de9c02857594e76b24d52e7578bdb01df69,src/network/ssl/qsslsocket_schannel.cpp,2175,QList QSsl SslProtocol QSslSocketPrivate supportedProtocols
Logic,base,I06b4f54e300541033a9a18339c97338717a06da0,src/corelib/text/qregularexpression.cpp,1431,return d d patternOptions QRegularExpression NoPatternOption
Visual,base,I06b4f54e300541033a9a18339c97338717a06da0,src/corelib/text/qregularexpression.cpp,1557,int errorStringLength
Structure,base,I06b4f54e300541033a9a18339c97338717a06da0,src/corelib/text/qregularexpression.cpp,1751,d new QRegularExpressionPrivate
Logic,base,I06b4f54e300541033a9a18339c97338717a06da0,src/corelib/text/qregularexpression.cpp,2161,return d d matchType QRegularExpression NoMatch
Logic,base,I06b4f54e300541033a9a18339c97338717a06da0,tests/auto/corelib/text/qregularexpression/tst_qregularexpression.cpp,543,QCOMPARE match hasPartialMatch match hasPartialMatch
Visual,base,I06b4f54e300541033a9a18339c97338717a06da0,tests/auto/corelib/text/qregularexpression/tst_qregularexpression.cpp,522,QRegularExpressionMatch match re match abctestdef
Logic,base,I06b4f54e300541033a9a18339c97338717a06da0,tests/auto/corelib/text/qregularexpression/tst_qregularexpression.cpp,483,expr optimize simply call it to check that it does not crash
Logic,base,I06b4f54e300541033a9a18339c97338717a06da0,tests/auto/corelib/text/qregularexpression/tst_qregularexpression.cpp,550,QCOMPARE match capturedEnd match capturedEnd
Structure,base,I096e609edbb760b5686d577e7fe47eea0807904e,src/gui/kernel/qeventpoint.h,80,Q PROPERTY QPointF normalizedPosition READ normalizedPosition CONSTANT
Interface,base,I219f08d73b97317820ec6e329ab1e6c89c0545f1,tests/auto/concurrent/qtconcurrentmap/tst_qtconcurrentmap.cpp,510,std forward MapObject mapObject
Interface,base,I219f08d73b97317820ec6e329ab1e6c89c0545f1,tests/auto/concurrent/qtconcurrentmap/tst_qtconcurrentmap.cpp,734,sourceObjectList std forward MapObject mapObject
Interface,base,I219f08d73b97317820ec6e329ab1e6c89c0545f1,tests/auto/concurrent/qtconcurrentmap/tst_qtconcurrentmap.cpp,1189,std forward MapObject mapObject std forward ReduceObject reduceObject
Logic,base,I29cf4f94b8e98e1af30dd46fbdba39c421cf66bf,src/corelib/thread/qfutureinterface.cpp,633,useProgressRange useProgressRange m progressValue m progressMaximum
Structure,base,I2a09b1dcdd907d60085dccf17f987086dcba878c,src/corelib/kernel/qmetatype.cpp,683,if where
Logic,base,I32258cb7c957f2a23a05157ba4ed5c0af2ba585e,tests/auto/network/access/qdecompresshelper/tst_qdecompresshelper.cpp,438,const auto isZero char c return c
Logic,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,702,if qApp focusWindow
Logic,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,664,ulong modifierFlags key modifierFlags
Structure,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,598,else if charactersIgnoringModifiers UIKeyInputF
Structure,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,610,else if charactersIgnoringModifiers UIKeyInputF
Structure,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,617,return Qt Key Down
Structure,base,I349af43468b03fd8dcb16adba02669974affe154,src/plugins/platforms/ios/quiview.mm,586,UIKey key press key
Structure,base,I3c84a188cdbb0d09e0e7c66588c7638c8a8328fd,src/corelib/tools/qvarlengtharray.h,325,friend bool operator const QVarLengthArray T Prealloc l const QVarLengthArray T Prealloc r
Structure,base,I3c84a188cdbb0d09e0e7c66588c7638c8a8328fd,src/corelib/tools/qvarlengtharray.h,373,endif
Documentation,base,I43803a0dfe210353d0235f0373d2257f75ffe534,src/corelib/kernel/qproperty.cpp,794,Returns a default constructed QUntypedPropertyBinding if no property is set
Visual,base,I4382dd53a225375759b9d042f6035a4a9810572b,src/corelib/kernel/qjniobject.cpp,1474,if id
Structure,base,I4382dd53a225375759b9d042f6035a4a9810572b,src/corelib/kernel/qjniobject.cpp,311,return true
Logic,base,I4382dd53a225375759b9d042f6035a4a9810572b,src/corelib/kernel/qjniobject.cpp,1712,return env IsSameObject d m jobject obj
Structure,base,I4382dd53a225375759b9d042f6035a4a9810572b,src/corelib/kernel/qjniobject.h,209,inline bool operator const QJniObject obj T obj
Visual,base,I4bfe6c14304d311b903878acd5b4c8169f4065c7,src/widgets/kernel/qtooltip.cpp,105,setPalette and setFont When a tool tip is currently on
Documentation,base,I4cf81c8283262cbf59ee3fb7064a59837332ced7,src/gui/kernel/qevent.h,95,quint m extra
Documentation,base,I5a0a4742dae9b6f0caa65d0e93edcf3658bee9f8,src/corelib/global/qnumeric.cpp,293,private API
Visual,base,I5b9add3be5f17b387e2d34028b72c8f52db68444,src/corelib/tools/qlist.h,375,d detach oldData
Logic,base,I648747547f0525a482216b1e1972fcc698c73f65,tests/auto/network/ssl/qsslcertificate/tst_qsslcertificate.cpp,476,else
